abolish	ortadan kaldırmak	abschaffen	abolir
lobby	lobi	Empfangshalle	lobby
log	kayıt	Protokoll	enregistrer
logic	mantık	Logik	logique
long-standing	uzun süredir devam eden	langjährig	de longue date
loom	tezgâh	Webstuhl	métier à tisser
loop	döngü	Schleife	boucle
loyalty	bağlılık	Loyalität	loyauté
machinery	makine	Maschinen	machinerie
magical	büyülü	magisch	magique
magistrate	sulh yargıcı	Magistrat	magistrat
magnetic	manyetik	magnetisch	magnétique
magnitude	büyüklük	Größe	ordre de grandeur
mainland	anakara	Festland	continent
mainstream	ana akım	Mainstream	intégrer
maintenance	Bakım	Wartung	entretien
major	ana	wesentlich	majeur
mandate	hakimiyet	Mandat	mandat
mandatory	zorunlu	obligatorisch	obligatoire
manifest	belirgin	Manifest	manifeste
manipulate	manipule etmek	manipulieren	manipuler
manipulation	manipülasyon	Manipulation	manipulation
manuscript	el yazması	Manuskript	manuscrit
march	mart	Marsch	mars
marginal	marjinal	marginal	marginal
marine	deniz	Marine	Marin
marketplace	pazar	Marktplatz	marché
mask	maske	Maske	masque
massacre	katliam	Massaker	massacre
mathematical	matematiksel	mathematisch	mathématique
mature	olgun	reifen	mature
maximize	en üst düzeye çıkarmak	maximieren	maximiser
meaningful	anlamlı	sinnvoll	significatif
meantime	Bu arada	inzwischen	entre temps
medieval	Ortaçağa ait	mittelalterlich	médiéval
meditation	meditasyon	Meditation	méditation
melody	melodi	Melodie	mélodie
memo	hafıza	Memo	note
memoir	anı	Memoiren	mémoire
memorial	anıt	Denkmal	Mémorial
mentor	akıl hocası	Mentor	mentor
merchant	tüccar	Händler	marchand
mercy	merhamet	Gnade	miséricorde
mere	sadece	bloß	simple
merely	sadece	nur	simplement
merge	birleştirmek	verschmelzen	fusionner
merger	birleşme	Zusammenschluss	fusionnement
merit	hak	Verdienst	mérite
methodology	metodoloji	Methodik	méthodologie
midst	ortasında	Mitte	milieu
migration	göç	Migration	migration
militant	militan	militant	militant
militia	milis	Miliz	milice
mill	değirmen	Mühle	moulin
minimal	en az	minimal	minimal
minimize	küçültmek	minimieren	minimiser
mining	madencilik	Bergbau	exploitation minière
ministry	bakanlık	Ministerium	ministère
minute	dakika	Minute	minute
miracle	mucize	Wunder	miracle
misery	sefalet	Elend	misère
misleading	yanıltıcı	irreführend	trompeur
missile	füze	Rakete	missile
mob	mafya	Mob	foule
mobility	hareketlilik	Mobilität	mobilité
mobilize	harekete geçirmek	mobilisieren	mobiliser
moderate	ılıman	mäßig	modéré
modification	değiştirme	Änderung	modification
momentum	itme	Schwung	élan
monk	rahip	Mönch	moine
monopoly	Tekel	Monopol	monopole
morality	ahlak	Moral	moralité
motive	güdü	Motiv	motif
motorist	sürücü	Autofahrer	automobiliste
municipal	belediye	kommunal	municipal
mutual	karşılıklı	gegenseitig	mutuel
namely	yani	nämlich	à savoir
nationwide	ülke çapında	landesweit	à l'échelle nationale
naval	deniz	Marine-	naval
neglect	ihmal etmek	Vernachlässigung	négligence
neighbouring	komşu	Nachbar	voisin
nest	yuva	Nest	nid
net	açık	Netz	filet
newsletter	bülten	Newsletter	bulletin
niche	niş	Nische	niche
noble	soylu	edel	noble
nod	başını sallamak	nicken	hocher la tête
nominate	aday göstermek	nominieren	désigner
nomination	adaylık	Nominierung	nomination
nominee	aday	Kandidat	candidat
nonetheless	Her şeye rağmen	dennoch	néanmoins
non-profit	kar amacı gütmeyen	gemeinnützig	non lucratif
nonsense	anlamsız	Unsinn	absurdité
noon	öğlen	Mittag	midi
notable	dikkate değer	bemerkenswert	notable
notably	özel olarak	vor allem	notamment
notify	bilgilendirmek	benachrichtigen	aviser
notorious	kötü şöhretli	berüchtigt	célèbre
novel	roman	Roman	roman
nursery	yuva	Kindergarten	garderie
objection	itiraz	Einspruch	objection
oblige	mecbur etmek	verpflichten	obliger
obsess	takıntılı olmak	besessen	obséder
obsession	saplantı	Besessenheit	obsession
occasional	ara sıra	gelegentlich	occasionnel
occurrence	ortaya çıkma	Auftreten	occurrence
odds	ihtimal	Chancen	chances
offering	teklif	Angebot	offre
toplanan	TOPLANAN	Toplanan	Toplanan
offspring	yavru	Nachwuchs	progéniture
operational	operasyonel	operativ	opérationnel
opt	seçmek	opt	opter
optical	optik	optisch	optique
optimism	iyimserlik	Optimismus	optimisme
oral	Oral	Oral	oral
organizational	örgütsel	organisatorisch	organisationnel
orientation	oryantasyon	Orientierung	orientation
originate	doğmak	Ursprung	provenir de
outbreak	salgın	Ausbruch	épidémie
outlet	çıkış	Auslauf	sortie
outlook	görünüm	Ausblick	perspectives
outrage	öfke	Empörung	outrage
outsider	yabancı	Außenseiter	outsider
overlook	görmezden gelmek	übersehen	négliger
overly	aşırı	übermäßig	trop
oversee	denetlemek	überwachen	superviser
overturn	devirmek	umkippen	renverser
overwhelm	kaplamak	überwältigen	submerger
overwhelming	ezici	überwältigend	accablant
koruyucu	Koruyucu	Koruyucu	Koruyucu
parameter	parametre	Parameter	paramètre
parental	ebeveyn	Eltern	parental
parish	cemaat	Gemeinde	paroisse
parliamentary	parlamento	parlamentarisch	parlementaire
partial	kısmi	teilweise	partiel
partially	kısmen	teilweise	partiellement
passing	geçen	Vorbeigehen	qui passe
passive	pasif	passiv	passif
pastor	papaz	Pastor	pasteur
patch	yama	Patch	correctif
patent	patent	Patent	brevet
pathway	patika	Weg	sentier
patrol	devriye gezmek	patrouillieren	patrouille
patron	patron	Patron	mécène
peak	doruğa ulaşmak	Gipfel	culminer
peasant	köylü	Bauer	paysan
peculiar	özel eşya	seltsam	particulier
persist	ısrar etmek	fortdauern	persister
persistent	kalıcı	hartnäckig	persistant
personnel	personel	Personal	personnel
petition	dilekçe	Petition	pétition
philosopher	filozof	Philosoph	philosophe
philosophical	felsefi	philosophisch	philosophique
physician	doktor	Arzt	médecin
pioneer	öncü	Pionier	pionnier
pipeline	boru hattı	Pipeline	pipeline
pirate	korsan	Pirat	pirate
pit	çukur	Grube	fosse
plea	savunma	Plädoyer	plaidoyer
plead	savunmak	flehen	plaider
pledge	rehin	versprechen	engagement
plug	fiş	Stecker	brancher
plunge	dalma	stürzen	plonger
pole	kutup	Pole	pôle
poll	anket	Umfrage	sondage
pond	gölet	Teich	étang
pop	pop	Pop	populaire
portfolio	portföy	Portfolio	portefeuille
portray	tasvir etmek	porträtieren	représenter
postpone	ertelemek	verschieben	reporter
post-war	savaş sonrası	Nachkriegszeit	après la guerre
practitioner	uygulayıcı	Praktiker	praticien
preach	vaaz vermek	predigen	prêcher
precedent	emsal teşkil eden	Präzedenzfall	précédent
precision	kesinlik	Präzision	précision
predator	yırtıcı kimse	Raubtier	prédateur
predecessor	selefi	Vorgänger	prédécesseur
predominantly	ağırlıklı olarak	überwiegend	principalement
pregnancy	gebelik	Schwangerschaft	grossesse
prejudice	ön yargı	Vorurteil	préjudice
preliminary	ön hazırlık	vorläufig	préliminaire
premier	başbakan	Premier	premier
premise	Öncül	Prämisse	prémisse
premium	ödül	Prämie	prime
prescribe	Reçetelemek	verschreiben	prescrire
prescription	reçete	Verschreibung	ordonnance
presently	şu anda	gegenwärtig	présentement
preservation	koruma	Erhaltung	préservation
preside	başkanlık etmek	präsidieren	présider
presidency	başkanlık	Präsidentschaft	présidence
presidential	başkanlık	Präsidentschaft	présidentiel
prestigious	prestijli	prestigeträchtig	prestigieux
presumably	muhtemelen	vermutlich	probablement
presume	varsaymak	vermuten	présumer
prevail	hakim olmak	sich durchsetzen	prévaloir
prevalence	yaygınlık	Häufigkeit	prévalence
prevention	önleme	Verhütung	la prévention
prey	kurban	Beute	proie
principal	müdür	Rektor	principal
privatization	özelleştirme	Privatisierung	privatisation
privilege	ayrıcalık	Privileg	privilège
probe	incelemek, bulmak	Sonde	sonde
problematic	sorunlu	problematisch	problématique
proceeding	ilerleme	vorgehen	procédure
proceeds	gelir	Erlös	procédures
processing	işleme	wird bearbeitet	traitement
processor	işlemci	Prozessor	processeur
proclaim	ilan etmek	proklamieren	proclamer
productive	üretken	produktiv	productif
productivity	verimlilik	Produktivität	productivité
profitable	kârlı	profitabel	rentable
profound	engin	tiefgreifend	profond
projection	projeksiyon	Projektion	projection
prominent	öne çıkan	prominent	éminent
pronounced	belirgin	ausgesprochen	prononcé
propaganda	propaganda	Propaganda	la propagande
proposition	önerme	Vorschlag	proposition
prosecute	kovuşturmak	strafrechtlich verfolgen	poursuivre
prosecution	Soruşturma	Strafverfolgung	poursuite
prosecutor	Savcı	Staatsanwalt	procureur
prospective	muhtemel	Prospektive	éventuel
prosperity	refah	Wohlstand	prospérité
protective	koruyucu	Schutz	protecteur
protocol	protokol	Protokoll	protocole
province	vilayet	Provinz	province
bölümlerinden	Bömlerinden	Bölüglerinden	Bölümlerinden
provincial	il	Provinz	provincial
provision	karşılık	Bestimmung	disposition
provoke	kışkırtmak	provozieren	provoquer
psychiatric	psikiyatrik	psychiatrisch	psychiatrique
pulse	nabız	Impuls	impulsion
pump	pompa	Pumpe	pompe
punch	yumruk	schlagen	coup de poing
query	sorgu	Anfrage	mettre en doute
quest	arayış	Suche	quête
quota	kota	Quote	quota
radar	radar	Radar	radar
mesafesini	Mesafesini	mesafesini	mésafesini
radical	radikal	Radikale	radical
rage	öfkelenmek	Wut	rage
raid	yağma	überfallen	raid
rally	ralli	Rallye	se rallier
ranking	sıralama	Rangfolge	classement
ratio	oran	Verhältnis	rapport
rational	akılcı	rational	rationnel
ray	ışıltı	Strahl	rayon
readily	kolayca	leicht	facilement
realization	gerçekleştirme	Realisierung	la concrétisation
realm	Diyar	Reich	royaume
rear	arka	Rückseite	arrière
reasoning	akıl yürütme	Argumentation	raisonnement
reassure	güvence vermek	beruhigen	rassurer
rebel	isyancı	Rebell	rebelle
rebellion	isyan	Rebellion	rébellion
recipient	alıcı	Empfänger	destinataire
reconstruction	yeniden yapılanma	Wiederaufbau	reconstruction
recount	yeniden saymak	erzählen	raconter
referendum	referandum	Referendum	référendum
reflection	refleks	Betrachtung	réflexion
reform	reform	Reform	réforme
refuge	sığınmak	Zuflucht	refuge
refusal	reddetme	Ablehnung	refus
regain	yeniden kazanmak	wiedergewinnen	reconquérir
regardless	ne olursa olsun	trotzdem	indépendamment de
regime	rejim	Regime	régime
regulator	regülatör	Regler	régulateur
regulatory	düzenleyici	regulatorisch	réglementaire
rehabilitation	rehabilitasyon	Rehabilitation	réhabilitation
reign	saltanat	regieren	règne
rejection	reddetme	Ablehnung	rejet
relevance	alaka düzeyi	Relevanz	pertinence
reliability	güvenilirlik	Zuverlässigkeit	fiabilité
reluctant	isteksiz	widerwillig	réticent
remainder	geri kalan	Rest	reste
remains	kalıntılar	Überreste	restes
remedy	çare	Abhilfe	remède
reminder	hatırlatma	Erinnerung	rappel
removal	kaldırma	Entfernung	suppression
render	işlemek	machen	rendre
renew	Yenile	erneuern	renouveler
renowned	ünlü	bekannt	renommé
rental	kira	Miete	de location
replacement	yenisiyle değiştirme	Ersatz	remplacement
reportedly	bildirilmiş	Berichten zufolge	aurait
representation	temsil	Darstellung	représentation
reproduce	üretmek	reproduzieren	reproduire
reproduction	üreme	Reproduktion	la reproduction
republic	cumhuriyet	Republik	république
resemble	benzemek	ähneln	ressembler
reside	ikamet	wohnen	résider
residence	Konut	Residenz	résidence
residential	yerleşim	Wohn	Résidentiel
residue	kalıntı	Rückstand	résidu
resignation	istifa	Rücktritt	démission
resistance	rezistans	Widerstand	résistance
respective	saygılı	jeweilig	respectif
respectively	sırasıyla	bzw.	respectivement
restoration	restorasyon	Wiederherstellung	restauration
restraint	kısıtlama	Zurückhaltung	retenue
resume	sürdürmek	fortsetzen	CV
retreat	geri çekilmek	Rückzug	retraite
retrieve	geri almak	abrufen	récupérer
revelation	vahiy	Offenbarung	révélation
revenge	intikam	Rache	vengeance
reverse	tersi	umkehren	inverse
revival	canlanma	Wiederbelebung	la relance
revive	canlandırmak	beleben	relancer
revolutionary	devrimci	Revolutionär	révolutionnaire
rhetoric	retorik	Rhetorik	rhétorique
rifle	tüfek	Gewehr	fusil
riot	isyan	Aufstand	émeute
rip	Huzur içinde yatsın	Ruhe in Frieden	déchirer
ritual	ritüel	Ritual	rituel
robust	güçlü	robust	robuste
rock	kaynak	Felsen	osciller
rod	kamış	Stange	canne à pêche
rotate	döndürmek	drehen	tourner
rotation	dönme	Drehung	rotation
ruling	yonetmek	Regeln	décision
rumour	söylenti	Gerücht	rumeur
sack	çuval	Sack	sac
sacred	kutsal	heilig	sacré
sacrifice	kurban etmek	opfern	sacrifice
saint	aziz	Heilige	Saint
sake	hatır	Gunst	saké
sanction	yaptırım	Sanktion	sanction
say	söylemek	sagen	dire
scattered	dağınık	verstreut	dispersé
sceptical	şüpheci	skeptisch	sceptique
scope	kapsam	Umfang	portée
screw	vida	schrauben	vis
scrutiny	inceleme	Prüfung	examen minutieux
seal	fok	Siegel	joint
secular	laik	weltlich	séculier
seemingly	görünüşte	scheinbar	apparemment
segment	segment	Segment	segment
seize	kapmak	ergreifen	saisir
seldom	nadiren	selten	rare
selective	seçici	selektiv	sélectif
senator	senatör	Senator	sénateur
sensation	duygu	Sensation	sensation
sensitivity	duyarlılık	Empfindlichkeit	sensibilité
sentiment	duygusallık	Gefühl	sentiment
separation	ayrılma	Trennung	séparation
serial	seri	Serie	en série
settlement	yerleşme	Siedlung	règlement
set-up	kurmak	aufstellen	installation
shareholder	hissedar	Aktionär	actionnaire
shatter	kırmak	zerschmettern	briser
shed	baraka	Baracke	hangar
sheer	sırf	schier	virer
shipping	Nakliye	Versand	expédition
shoot	film çekmek	schießen	tirer
shrink	çekmek	schrumpfen	rétrécir
shrug	omuz silkme	zucken	hausser les épaules
sigh	iç çekmek	seufzen	soupir
simulate	benzetmek	simulieren	simuler
simulation	simülasyon	Simulation	simulation
simultaneously	eşzamanlı	gleichzeitig	simultanément
sin	günah	Sünde	péché
situated	yerleşmiş	gelegen	situé
sketch	eskiz	skizzieren	esquisser
skip	atlamak	überspringen	sauter
slam	çarpmak	zuschlagen	claquer
(kapıyı/kapağı)	(Kapuyı/Kapağ)	(Kapıyı/Kapağı)	(Kapıyı / Kapağı)
slap	tokat	schlagen	gifler
slash	yırtmaç	Schrägstrich	sabrer
slavery	kölelik	Sklaverei	esclavage
slot	yuva	Slot	fente
smash	paramparça etmek	zerschlagen	briser
snap	patlatmak	Schnappnahme	instantané
soak	emmek	einweichen	tremper
soar	yükselmek	steigen	monter
socialist	sosyalist	Sozialist	socialiste
sole	ayak tabanı	Sohle, einzig, alleinig	seul
solely	sadece	einzig und allein	uniquement
solicitor	avukat	Rechtsanwalt	solliciteur
solidarity	dayanışma	Solidarität	solidarité
solo	solo	Solo	solo
sound	ses	Klang	son
sovereignty	egemenlik	Souveränität	la souveraineté
span	aralık	Spanne	portée
spare	kıyamamak	Ersatzteil	de rechange
spark	kıvılcım	Funke	étincelle
specialized	özel	spezialisiert	spécialisé
specification	Şartname	Spezifikation	spécification
specimen	örnek	Probe	spécimen
spectacle	gösteri	Schauspiel	spectacle
spectrum	spektrum	Spektrum	spectre
spell	hecelemek	Fluch	sort
sphere	küre	Kugel	sphère
spin	döndürmek	drehen	rotation
spine	omurga	Wirbelsäule	colonne vertébrale
spotlight	spot ışığı	Scheinwerfer	projecteur
spouse	eş	Ehepartner	conjoint
spy	casus	Spion	espionner
squad	Tayfa	Kader	équipe
squeeze	sıkmak	quetschen	presser
stab	bıçaklamak	stechen	poignarder
stability	istikrar	Stabilität	la stabilité
stabilize	dengelemek	stabilisieren	stabiliser
stake	kazıklamak	Einsatz	miser
standing	ayakta	Stehen	debout
stark	keskin	Stark	rigide
statistical	istatistiksel	statistisch	statistique
steer	yönlendirmek	steuern	diriger
stem	kök	Stengel	tige
stereotype	stereotip	Stereotyp	stéréotype
stimulus	uyarıcı	Stimulus	stimulus
stir	karıştırmak	Aufsehen	remuer
storage	depolamak	Lagerung	stockage
straightforward	basit	einfach	direct
strain	gerilmek	Beanspruchung	souche
strand	iplik	Strand	brin
strategic	stratejik	strategisch	stratégique
striking	dikkat çekici	streikend	frappant
strip	soymak	Streifen	bande
strive	çaba sarf etmek	sich bemühen	aspirer
structural	yapısal	strukturell	de construction
stumble	yanılmak	stolpern	trébucher
stun	sersemletmek	betäuben	étourdir
submission	boyun eğme	Vorlage	soumission
subscriber	abone	Teilnehmer	abonné
subscription	abonelik	Abonnement	abonnement
subsidy	sübvansiyon	Subvention	subvention
substantial	varlıklı	substanziell	substantiel
substantially	esasen	im Wesentlichen	substantiellement
substitute	yerine geçmek	Ersatz	remplaçant
substitution	ikame	Auswechslung	substitution
subtle	hemen göze çarpmayan	subtil	subtil
suburban	banliyö	Vorort-	de banlieue
succession	halefiyet	Nachfolge	Succession
successive	birbirini izleyen	aufeinanderfolgend	successif
successor	varis	Nachfolger	successeur
suck	emmek	saugen	sucer
sue	Dava açmak	verklagen	poursuivre en justice
suicide	intihar	Selbstmord	suicide
suite	süit	Suite	suite
summit	toplantı	Gipfel	sommet
superb	müthiş	hervorragend	superbe
superior	üst	Vorgesetzter	supérieur
supervise	denetlemek	überwachen	superviser
supervision	nezaret	Aufsicht	surveillance
supervisor	amir	Aufsicht	superviseur
supplement	ek	Ergänzung	supplément
supportive	destekleyici	unterstützend	solidaire
supposedly	sözde	angeblich	soi-disant
suppress	bastırmak	unterdrücken	réprimer
supreme	yüce	höchste	suprême
surge	kabarmak	Anstieg	monter
surgical	cerrahi	chirurgisch	chirurgical
surplus	fazla	Überschuss	surplus
surrender	teslim olmak	aufgeben	se rendre
surveillance	gözetim	Überwachung	surveillance
suspension	süspansiyon	Suspension	suspension
suspicion	şüphe	Verdacht	soupçon
suspicious	şüpheli	verdächtig	suspect
sustain	güç vermek	erhalten	soutenir
swing	sallanmak	schwingen	balançoire
sword	kılıç	Schwert	épée
symbolic	simgesel	symbolisch	symbolique
syndrome	sendrom	Syndrom	syndrome
synthesis	sentez	Synthese	la synthèse
systematic	sistematik	systematisch	systématique
tackle	olta takımı	angehen	attaquer
tactic	taktik	Taktik	tactique
tactical	taktik	taktisch	tactique
taxpayer	vergi mükellefi	Steuerzahler	contribuable
tempt	baştan çıkarmak	versuchen	tenter
tenant	kiracı	Mieter	locataire
tender	sunmak	zart	offre
tenure	görev süresi	Amtszeit	mandat
terminal	terminal	Terminal	Terminal
terminate	sonlandırmak	beenden	mettre fin
terrain	arazi	Terrain	terrain
terrific	müthiş	ausgezeichnet	formidable
testify	tanıklık etmek	bezeugen	témoigner
testimony	tanıklık	Zeugnis	témoignage
texture	doku	Textur	texture
thankfully	neyse ki	Gott sei Dank	heureusement
theatrical	tiyatro	theatralisch	théâtral
theology	teoloji	Theologie	théologie
theoretical	teorik	theoretisch	théorique
thereafter	Daha sonra	danach	après
thereby	böylece	damit	ainsi
thoughtful	düşünceli	nachdenklich	réfléchi
thought-provoking	düşündürücü	zum Nachdenken anregend	réflexion
thread	iplik	Gewinde	fil
threshold	eşik	Schwelle	seuil
thrilled	heyecanlı	hocherfreut	content
thrive	gelişmek	gedeihen	prospérer
tide	gelgit	Tide	marée
tighten	sıkılaştırmak	spannen	serrer
timber	kereste	Holz	Charpente
timely	zamanında	rechtzeitig	opportun
tobacco	tütün	Tabak	le tabac
tolerance	hata payı	Toleranz	tolérance
tolerate	tolere etmek	tolerieren	tolérer
toll	Geçiş ücreti	Maut	sonner
top	tepe	Spitze	haut
torture	işkence	Folter	torture
toss	atmak	werfen	lancer
total	Toplam	gesamt	total
toxic	zehirli	giftig	toxique
trace	iz	verfolgen	trace
trademark	marka	Warenzeichen	marque déposée
trail	iz	Pfad	piste
trailer	römork	Anhänger	bande-annonce
transaction	işlem	Transaktion	transaction
transcript	deşifre metni	Transkript	transcription
transformation	dönüşüm	Transformation	transformation
transit	taşıma	Transit	transit
transmission	bulaşma	Übertragung	transmission
transparency	şeffaflık	Transparenz	transparence
transparent	şeffaf	transparent	transparent
trauma	travma	Trauma	traumatisme
treaty	antlaşma	Vertrag	traité
tremendous	muazzam	enorm	formidable
tribal	kabile	Stammes	tribal
tribunal	mahkeme	Gericht	tribunal
tribute	takdir	Tribut	hommage
trigger	tetiklemek	Abzug	déclencher
trio	üçlü	Trio	trio
triumph	zafer	Triumph	triomphe
trophy	ganimet	Trophäe	trophée
troubled	sıkıntılı	beunruhigt	troublé
trustee	mütevelli heyeti	Treuhänder	curateur
tuition	öğrenim	Unterricht	frais de scolarité
turnout	boşaltmak	sich herausstellen	s'avérer
turnover	devir	Umsatz	chiffre d'affaires
twist	bükmek	Twist	torsion
undergraduate	lisans	Bachelor	premier cycle
underlying	altta yatan	zugrundeliegend	sous-jacent
undermine	zayıflatmak	untergraben	saper
undoubtedly	kuşkusuz	zweifellos	indubitablement
unify	birleştirmek	vereinheitlichen	unifier
unprecedented	benzeri görülmemiş	beispiellos	sans précédent
unveil	ortaya çıkarmak	enthüllen	dévoiler
upcoming	yaklaşan	bevorstehende	A venir
upgrade	güncelleme	Aktualisierung	améliorer
uphold	korumak	Aufrechterhaltung	défendre
utility	Yarar	Dienstprogramm	utilitaire
utilize	faydalanmak	nutzen	utiliser
utterly	tamamen	vollkommen	tout à fait
vacuum	vakum	Vakuum	vide
vague	başıboş dolaşmak	vage	vague
validity	geçerlilik	Gültigkeit	validité
vanish	yok olmak	verschwinden	disparaître
variable	değişken	Variable	variable
varied	çeşitli	abwechslungsreich	varié
vein	damar	Vene	veine
venture	girişim	wagen	entreprise
verbal	sözlü	Verbal	verbal
verdict	karar	Urteil	verdict
verify	doğrulamak	verifizieren	vérifier
verse	ayet	Vers	verset
versus	e karşı	gegen	contre
vessel	gemi	Schiff	navire
veteran	kıdemli	Veteran	vétéran
viable	uygun	lebensfähig	viable
vibrant	canlı	beschwingt	vibrant
vice	mengene	Vize	vice
vicious	kısır	bösartig	vicieux
villager	köylü	Dorfbewohner	villageois
violate	ihlal etmek	verletzen	violer
violation	ihlal	Verstoß	violation
virtue	Erdem	Tugend	vertu
vocal	vokal	Vokal	vocal
vow	yemin etmek	Gelübde	vœu
vulnerability	güvenlik açığı	Verletzlichkeit	vulnérabilité
vulnerable	hassas	verletzlich	vulnérable
ward	koğuş	Station	salle
warehouse	depo	Lagerhaus	entrepôt
warfare	savaş	Krieg	guerre
warrant	garanti	Gewährleistung	garantir
warrior	savaşçı	Krieger	guerrier
weaken	zayıflatmak	schwächen	affaiblir
weave	örmek	weben	tisser
weed	esrar	Unkraut	herbe
well	Peki	Also	Bien
well-being	refah	Wohlbefinden	bien-être
whatsoever	Herhangi bir	Was auch immer	quoi que ce soit
whereby	vasıtasıyla	wodurch	par lequel
whip	kırbaçlamak	Peitsche	fouet
wholly	tamamen	ganz	entièrement
widen	genişletmek	erweitern	élargir
widow	dul	Witwe	veuve
width	Genişlik	Breite	largeur
willingness	istekli olma	Bereitschaft	volonté
wipe	silip süpürmek	wischen	essuyer
wit	zekâ	Witz	esprit
withdrawal	para çekme	Rückzug	retrait
workout	antrenman yapmak	trainieren	entraînement
worship	tapmak	Verehrung	culte
worthwhile	değerli	lohnend	digne d'intérêt
worthy	saygıdeğer	würdig	digne
yell	bağırmak	Schrei	crier
yield	teslim olmak	Ertrag	rendement
youngster	genç	junger	enfant
