abandon	terk etmek	aufgeben	abandonner
leaflet	broşür	Flugblatt	brochure
league	lig	Liga	ligue
lean	eğilmek	mager	maigre
leave	ayrılmak	verlassen	partir
legend	efsane	Legende	légende
lens	lens	Linse	lentille
level	seviyesi	eben	niveau
licence	lisans	Lizenz	Licence
lifetime	ömür	Lebensdauer	durée de vie
lighting	aydınlatma	Beleuchtung	éclairage
likewise	aynı şekilde	ebenfalls	de même
limitation	sınırlama	Einschränkung	limitation
limited	sınırlı	begrenzt	limité
line	astar	Linie	doubler
literally	gerçekten	buchstäblich	littéralement
literary	edebi	literarisch	littéraire
litre	litre	Liter	litre
litter	yavrulamak	Wurf	litière
lively	canlı	lebhaft	vivant
load	yük	Belastung	charger
loan	borç	Darlehen	prêt
logical	mantıklı	logisch	logique
logo	logo	Logo	logo
long-term	uzun vadeli	langfristig	long terme
loose	gevşetmek	lose	lâche
lord	Kral	Herr	seigneur
lottery	piyango	Lotterie	loterie
low	Düşük	niedrig	faible
lower	daha düşük	untere	inférieur
loyal	sadık	treu	loyal
lung	akciğer	Lunge	poumon
lyric	lirik	lyrisch	lyrique
magnificent	muhteşem	herrlich	magnifique
maintain	sürdürmek	pflegen	maintenir
majority	çoğunluk	mehrheitlich	majorité
make	yapmak	machen	faire
make-up	makyaj yapmak	bilden	se maquiller
making	yapımı	Herstellung	fabrication
manufacture	üretmek	Herstellung	fabrication
manufacturing	üretme	Herstellung	fabrication
map	harita	Karte	carte
marathon	maraton	Marathon	marathon
margin	marj	Rand	marge
marker	işaretleyici	Marker	marqueur
martial	dövüş	kriegerisch	martial
mass	yığın	Masse	masse
massive	cüsseli	fest	massif
master	usta	Meister	maître
matching	eşleştirme	Matching	correspondant à
mate	mat	sich paaren	copain
material	malzeme	Material	matériel
maximum	maksimum	maximal	maximum
mayor	Belediye Başkanı	Bürgermeister	maire
means	araç	bedeutet	moyens
measurement	ölçüm	Messung	la mesure
mechanic	tamirci	Mechaniker	mécanicien
mechanical	mekanik	mechanisch	mécanique
mechanism	mekanizma	Mechanismus	mécanisme
medal	madalya	Medaille	médaille
medication	ilaç tedavisi	Medikament	médicament
medium	orta	Mittel	moyen
melt	eritmek	schmelzen	fondre
membership	üyelik	Mitgliedschaft	adhésion
memorable	unutulmaz	unvergesslich	mémorable
metaphor	metafor	Metapher	métaphore
military	askeri	Militär	militaire
miner	madenci	Bergmann	mineur
mineral	mineral	Mineral	minéral
minimum	minimum	Minimum	le minimum
minister	bakan	Minister	ministre
minor	küçük	unerheblich	mineure
minority	azınlık	Minderheit	minorité
miserable	acınası	miserabel	misérable
mission	misyon	Mission	mission
mistake	hata	Fehler	erreur
mixed	karışık	gemischt	mixte
mode	moda	Modus	mode
model	model	Modell	modèle
modest	mütevazı	bescheiden	modeste
modify	değiştirmek	ändern	modifier
monitor	izlemek	Monitor	moniteur
monster	canavar	Monster	monstre
monthly	aylık	monatlich	mensuel
monument	anıt	Monument	monument
moral	ahlak	Moral	morale
moreover	Dahası	darüber hinaus	de plus
mortgage	ipotek	Hypothek	hypothèque
mosque	cami	Moschee	mosquée
motion	hareket	Bewegung	mouvement
motivate	motive etmek	motivieren	motiver
motivation	motivasyon	Motivation	motivation
motor	motor	Motor	moteur
mount	takılmak	montieren	monter
moving	hareketli	ziehen um	en mouvement
multiple	çoklu	mehrere	plusieurs
multiply	çarpmak	multiplizieren	multiplier
mysterious	gizemli	mysteriös	mystérieux
myth	efsane	Mythos	mythe
naked	çıplak	nackt	nu
narrow	dar	eng	étroit
nasty	edepsiz	böse	méchant
national	ulusal	National	national
navigation	navigasyon	Navigation	la navigation
nearby	yakında	nahe	proche
neat	düzenli	sauber	soigné
necessity	zorunluluk	Notwendigkeit	nécessité
negative	olumsuz	Negativ	négatif
negotiate	müzakere etmek	verhandeln	négocier
negotiation	müzakere	Verhandlung	négociation
nerve	sinir	Nerv	nerf
neutral	doğal	neutral	neutre
nevertheless	yine de	Nichtsdestotrotz	néanmoins
newly	yeni	neu	nouvellement
nightmare	kabus	Alptraum	cauchemar
norm	norm	Norm	norme
notebook	not defteri	Notizbuch	carnet de notes
notion	fikir	Vorstellung	notion
novelist	romancı	Romanschriftsteller	romancier
nowadays	bu günlerde	heutzutage	aujourd'hui
numerous	çeşitli	zahlreich	nombreux
nursing	emzirme	Pflege	allaitement
nutrition	beslenme	Ernährung	nutrition
obesity	obezite	Fettleibigkeit	obésité
obey	itaat etmek	gehorchen	obéir
object	nesne	Objekt	objet
objective	amaç	Zielsetzung	objectif
obligation	yükümlülük	Verpflichtung	obligation
observation	gözlem	Überwachung	observation
observe	gözlemlemek	beobachten	observer
observer	gözlemci	Beobachter	observateur
obstacle	engel	Hindernis	obstacle
obtain	elde etmek	erhalten	obtenir
occasionally	ara sıra	ab und zu	occasionnellement
occupation	meslek	Beruf	profession
occupy	işgal etmek	besetzen	occuper
offence	suç	Delikt	infraction
offend	gücendirmek	beleidigen	offenser
offender	suçlu	Täter	délinquant
offensive	saldırgan	beleidigend	attaque
official	resmi	offiziell	officiel
ongoing	devam eden	laufend	en cours
opening	açılış	Öffnung	ouverture
openly	açıkça	offen	ouvertement
opera	opera	Oper	opéra
operate	çalıştırmak	arbeiten	fonctionner
operator	Şebeke	Operator	opérateur
opponent	rakip	Gegner	adversaire
oppose	karşı çıkmak	ablehnen	s'opposer
opposed	karşı	entgegengesetzt	opposé
opposition	muhalefet	Opposition	opposition
optimistic	iyimser	optimistisch	optimiste
orchestra	orkestra	Orchester	orchestre
organ	organ	Organ	organe
organic	organik	organisch	BIO
origin	Menşei	Herkunft	origine
otherwise	aksi takdirde	ansonsten	sinon
outcome	sonuç	Ergebnis	résultat
outer	dış	äußere	extérieur
outfit	kıyafet	Outfit	tenue
outline	taslak	Umriss	contour
output/outputted	Çıktı/Çıktı	ausgegeben/ausgegeben	sortie / sortie
outstanding	üstün	hervorragend	remarquable
overall	etraflı	gesamt	global
overcome	üstesinden gelmek	überwinden	surmonter
overnight	bir gecede	über Nacht	pendant la nuit
oversea	denizaşırı	Übersee	outre-mer
owe	sahip olmak	verdanken	devoir
ownership	sahiplik	Eigentum	la possession
oxygen	oksijen	Sauerstoff	oxygène
pace	adımlamak	Tempo	rythme
package	paketi	Paket	emballer
packet	paket	Paket	paquet
palm	avuç içi	Palme	palmier
panel	panel	Panel	panneau
panic	panik	Panik	panique
parade	geçit töreni	Parade	parade
parallel	paralel	parallel	parallèle
parliament	parlamento	Parlament	parlement
participant	katılımcı	Teilnehmer	participant
participation	katılım	Beteiligung	participation
partly	kısmen	teilweise	partiellement
partnership	ortaklık	Partnerschaft	Partenariat
part-time	yarı zamanlı	Teilzeit	à temps partiel
passage	geçit	Passage	passage
passionate	tutkulu	leidenschaftlich	passionné
password	şifre	Passwort	mot de passe
patience	sabır	Geduld	patience
patient	hasta	geduldig	patient
pause	Duraklat	Pause	pause
peer	akran	Peer	pair
penalty	ceza	Strafe	peine
pension	emeklilik	die Pension	Pension
perceive	algılamak	wahrnehmen	percevoir
perception	algı	Wahrnehmung	perception
permanent	kalıcı	dauerhaft	permanent
permanently	kalıcı olarak	permanent	en permanence
permit	izin vermek	erlauben	permis
perspective	perspektif	Perspektive	perspective
phase	faz	Phase	phase
phenomenon	fenomen	Phänomen	phénomène
philosophy	Felsefe	Philosophie	philosophie
pick	seçmek	wählen	prendre
picture	resim	Bild	image
pile	istif	Haufen	pile
pill	hap	Pille	pilule
pitch	saha	Tonhöhe	terrain
pity	acımak	Mitleid	pitié
placement	atama	Platzierung	placement
plain	ova	schmucklos	plaine
plot	komplo	Parzelle	parcelle
plus	artı	Plus	plus
pointed	işaretlendi	spitz	pointu
popularity	popülerlik	Popularität	popularité
portion	porsiyon	Portion	portion
pose	poz	Pose	pose
position	konum	Position	position
positive	pozitif	positiv	positif
possess	elinde bulundurmak	besitzen	posséder
potential	potansiyel	Potenzial	potentiel
potentially	potansiyel olarak	möglicherweise	potentiellement
power	güç	Leistung	pouvoir
praise	övmek	loben	louer
precede	öne çıkmak	vorausgehen	précéder
precious	değerli	wertvoll	précieux
precise	kesin	präzise	précis
precisely	açık olarak	genau	précisément
predictable	öngörülebilir	vorhersagbar	prévisible
preference	tercih	Präferenz	préférence
pregnant	hamile	schwanger	enceinte
preparation	hazırlık	Vorbereitung	préparation
presence	mevcudiyet	Gegenwart	présence
preserve	korumak	bewahren	préserver
price	fiyat	Preis	prix
pride	gurur	Stolz	fierté
primarily	öncelikle	in erster Linie	principalement
prime	astar vurmak	Prime	prime
principal	müdür	Rektor	principal
principle	prensip	Prinzip	principe
print	Yazdır	drucken	imprimer
prior	önceki	frühere	avant
priority	öncelik	Priorität	priorité
privacy	mahremiyet	Privatsphäre	confidentialité
probability	olasılık	Wahrscheinlichkeit	probabilité
probable	olası	wahrscheinlich	probable
procedure	prosedür	Verfahren	procédure
proceed	ilerlemek	fortfahren	procéder
process	işlem	Verfahren	processus
produce	üretmek	produzieren	produire
professional	profesyonel	Fachmann	professionnel
programming	programlama	Programmierung	la programmation
progress	ilerlemek	Fortschritt	progrès
progressive	ilerici	progressiv	progressive
prohibit	yasaklamak	verbieten	interdire
project	proje	Projekt	projet
promising	umut verici	vielversprechend	prometteur
promotion	terfi	Förderung	promotion
prompt	çabuk	prompt	rapide
proof	kanıt	nachweisen	preuve
proportion	oran	Anteil	proportion
proposal	teklif	Vorschlag	proposition
propose	teklif etmek, önermek	vorschlagen	proposer
prospect	olasılık	Aussicht	perspective
protection	koruma	Schutz	protection
protein	protein	Eiweiß	protéine
protester	protestocu	Demonstrant	manifestation
psychological	psikolojik	psychologisch	psychologique
psychologist	psikolog	Psychologe	psychologue
psychology	Psikoloji	Psychologie	psychologie
publication	yayın	Veröffentlichung	publication
publicity	tanıtım	Werbung	publicité
publishing	yayıncılık	Veröffentlichung	édition
punk	punk	Punk	punk
pupil	öğrenci	Schüler	élève
purchase	satın almak	kaufen	achat
pure	saf	rein	pur
purely	yalnızca	rein	purement
pursue	izlemek	streben	poursuivre
pursuit	kovalama	verfolgen	poursuite
puzzle	bulmaca	Puzzle	puzzle
questionnaire	anket	Fragebogen	questionnaire
racial	ırksal	rassistisch	racial
racism	ırkçılık	Rassismus	racisme
racist	ırkçı	Rassist	raciste
radiation	radyasyon	Strahlung	radiation
rail	Demiryolu	Schiene	rail
random	rastgele	willkürlich	aléatoire
range	menzil	Bereich	gamme
rank	rütbe	Rang	rang
rapid	ani	schnell	rapide
rapidly	hızlıca	schnell	rapidement
rat	fare	Ratte	rat
rate	oran	Rate	taux
rating	değerlendirme	Bewertung	notation
raw	çiğ	roh	brut
reach	ulaşmak	erreichen	atteindre
realistic	gerçekçi	realistisch	réaliste
reasonable	mantıklı	vernünftig	raisonnable
reasonably	makul bir şekilde	vernünftig	raisonnablement
rebuild	yeniden inşa etmek	Wiederaufbau	reconstruire
recall	hatırlamak	abrufen	rappel
receiver	alıcı	Empfänger	destinataire
recession	durgunluk	Rezession	récession
reckon	tahmin temek	rechnen	compter
recognition	tanıma	Erkennung	reconnaissance
recover	iyileşmek	genesen	récupérer
recovery	iyileşmek	Erholung	récupération
recruit	iyileştirmek	rekrutieren	recruter
recruitment	işe alım	Rekrutierung	recrutement
reduction	kesinti	die Ermäßigung	réduction
referee	hakem	Schiedsrichter	arbitre
refugee	mülteci	Flüchtling	réfugié
regard	saygınlık	betrachten	égard
regional	bölgesel	regional	régional
register	kayıt olmak	registrieren	enregistrer
registration	kayıt	Anmeldung	inscription
regret	pişmanlık	Reue	regret
regulate	düzenlemek	regulieren	réglementer
regulation	düzenleme	Verordnung	régulation
reinforce	güçlendirmek	verstärken	renforcer
relatively	nispeten	verhältnismäßig	relativement
relevant	ilgili	relevant	pertinent
relief	rahatlama	Erleichterung	relief
relieve	rahatlamak	lindern	soulager
relieved	rahatlamak	erleichtert	soulagé
rely	güvenmek	vertrauen	compter sur
remark	söz	Anmerkung	remarque
remarkable	dikkat çekici	bemerkenswert	remarquable
remarkably	dikkate alınarak	bemerkenswert	remarquablement
reporting	raporlama	Berichterstattung	déclaration
representative	temsilci	Vertreter	représentant
reputation	itibar	Ruf	réputation
requirement	gereklilik	Erfordernis	exigence
rescue	kurtarmak	Rettung	sauvetage
reserve	rezerve etmek	Reservieren	réserve
resident	ikamet eden kişi	Bewohner	résident
resign	istifa etmek	zurücktreten	démissionner
resist	direnmek	widerstehen	résister
resolution	çözünürlük	Auflösung	résolution
resolve	çözmek	beschließen	résoudre
resort	tatil yeri	Resort	station balnéaire
restore	eski haline getirmek	wiederherstellen	restaurer
restrict	kısıtlamak	beschränken	limiter
restriction	kısıtlama	Beschränkung	restriction
retail	perakende	Einzelhandel	détail
retain	sürdürmek	zurückbehalten	retenir
retirement	emeklilik	Ruhestand	retraite
reveal	ortaya çıkarmak	aufdecken	révéler
revenue	hasılat	Einnahmen	revenu
revision	revizyon	Revision	révision
revolution	devrim	Revolution	révolution
reward	ödül	belohnen	récompense
rhythm	ritim	Rhythmus	rythme
rid	kurtulmak	loswerden	débarrasser
ridiculous	saçma	lächerlich	ridicule
risky	riskli	riskant	risqué
rival	rakip	Rivale	rival
rob	soymak	rauben	Rob
robbery	soygun	Raub	vol
rocket	roket	Rakete	fusée
romance	romantik	Romantik	romance
root	kök	Wurzel	racine
rose	gül	Rose	rose
roughly	kabaca	grob	à peu près
round	yuvarlak	runden	rond
routine	rutin	Routine	routine
rub	ovmak	reiben	frotter
rubber	lastik	Gummi	caoutchouc
ruin	mahvetmek	Ruine	ruine
rural	kırsal	ländlich	rural
rush	acele etmek	eilen	ruée
sample	örnek	Probe	goûter
satellite	uydu	Satellit	Satellite
satisfaction	memnuniyet	Zufriedenheit	satisfaction
satisfied	memnun	befriedigt	satisfait
satisfy	tatmin etmek	erfüllen	satisfaire
saving	tasarruf	sparen	économie
scale	ölçek	Skala	escalader
scandal	skandal	Skandal	scandale
scare	Korkmak	Schrecken	effrayer
scenario	senaryo	Szenario	scénario
schedule	takvim	Zeitplan	calendrier
scheme	şema	planen	schème
scholar	akademisyen	Gelehrte	savant
scholarship	burs	Stipendium	bourse
scratch	çizik	kratzen	gratter
scream	bağırmak	Schrei	crier
screen	ekran	Bildschirm	filtrer
screening	tarama	Screening	dépistage
seat	koltuk	Sitz	siège
sector	sektör	Sektor	secteur
secure	güvenli	sicher	sécurisé
seek	aramak	suchen	chercher
seeker	arayan kimse	Sucher	chercheur
select	seçme	wählen	sélectionner
selection	seçme	Auswahl	sélection
self	kendi kendine	selbst	soi
seminar	seminer	Seminar	séminaire
senior	kıdemli	Senior	senior
sense	algı	Sinn	sens
sensitive	hassas	empfindlich	sensible
sentence	cümle	Satz	phrase
sequence	sekans	Reihenfolge	séquence
session	oturum	Sitzung	session
settle	yerleşmek	siedeln	régler
settler	yerleşimci	Siedler	colon
severe	haşin	schwer	grave
severely	şiddetli	stark	gravement
shade	gölge	Schatten	ombre
shadow	gölge	Schatten	ombre
shallow	sığ	seicht	peu profond
shame	utanç	Scham	honte
shape	şekil	Form	forme
shaped	şekilli	geformt	en forme de
shelter	barınak	Unterschlupf	abri
shift	vardiya	Schicht	changement
ship	gemi	Schiff	bateau
shock	şok	Schock	choc
shocked	şok	schockiert	choqué
shocking	şok edici	schockierend	choquant
shooting	çekim	Schießen	tournage
shore	sahil	Ufer	rive
shortage	kıtlık	Mangel	pénurie
shortly	kısa süre içinde	in Kürze	prochainement
short-term	kısa vadeli	kurzfristig	court terme
shot	atış	Schuss	tir
sibling	kardeş	Geschwister	frère et sœur
signature	imza	Unterschrift	signature
significance	önem	Bedeutung	importance
significant	önemli	bedeutsam	important
significantly	önemli ölçüde	bedeutend	significativement
silence	sessizlik	Schweigen	silence
silk	ipek	Seide	soie
sincere	içten	aufrichtig	sincère
skilled	yetenekli	qualifiziert	qualifié
skull	kafatası	Schädel	crâne
slave	köle	Sklave	esclave
slide	slayt	gleiten	glisser
slight	hafif	leicht	léger
slip	kaymak	Unterhose	glisser
slogan	slogan	Slogan	slogan
slope	eğim	Neigung	pente
so-called	Lafta	sogenannt	soi-disant
solar	güneş	Solar-	solaire
somehow	bir şekilde	irgendwie	d'une manière ou d'une autre
sometime	bazen	irgendwann	parfois
somewhat	biraz	etwas	quelque peu
sophisticated	komplike	anspruchsvoll	sophistiqué
soul	ruh	Seele	âme
spare	kıyamamak	Ersatzteil	de rechange
specialist	uzman	Spezialist	spécialiste
specialize	uzmanlaşmak	spezialisiert	spécialiser
species	türler	Spezies	espèces
specify	belirtmek	angeben	spécifier
spectacular	muhteşem	spektakulär	spectaculaire
spectator	seyirci	Zuschauer	spectateur
speculate	spekülasyon yapmak	spekulieren	spéculer
speculation	spekülasyon	Spekulation	spéculation
speed	hız	Geschwindigkeit	vitesse
spill	dökülme	verschütten	répandre
spiritual	manevi	spirituell	spirituel
spite	kınama	Trotz	dépit
split	bölmek	Teilt	diviser
spoil	şımartmak	verderben	gâcher
spokesman	sözcü	Sprecher	porte-parole
spokesperson	sözcü	Sprecher	porte-parole
spokeswoman	sözcü	Sprecherin	porte-parole
sponsor	sponsor	Sponsor	parrainer
sponsorship	sponsorluk	Sponsoring	parrainage
sporting	spor	Sporting	sportif
spot	leke	Stelle	place
spread	yaymak	Ausbreitung	diffuser
stable	stabil	stabil	écurie
stage	sahne	Bühne	organiser
stall	ahır	Stall	décrochage
stance	duruş	Haltung	position
stand	durmak	Stand	rester
stare	dik dik dikmek	starren	regard
starve	açlıktan ölmek	verhungern	affamer
status	durum	Status	statut
steadily	istikrarlı bir şekilde	ständig	régulièrement
steady	sabit durmak	stetig	constant
steam	buhar	Dampf	fumer
steel	çelik	Stahl	acier
steep	dik	steil	abrupte
step	adım	Schritt	marcher
sticky	yapışkan	klebrig	collant
stiff	katı	steif	rigide
stimulate	canlandırmak	stimulieren	stimuler
stock	stoklamak	Aktie	action
stream	aktarım	Strom	flux
strengthen	güçlendirmek	stärken	renforcer
stretch	uzatmak	strecken	extensible
strict	sıkı	strikt	strict
strictly	kesin olarak	streng	strictement
strike	çarpmak	schlagen	frapper
stroke	felç	Schlaganfall	accident vasculaire cérébral
structure	yapı	Struktur	structure
struggle	çabalamak	Kampf	lutte
stuff	şey	Sachen	truc
stunning	çekici	atemberaubend	superbe
subject	ders	Thema	sujet
submit	göndermek	einreichen	soumettre
subsequent	sonraki	anschließend	subséquent
subsequently	daha sonra	anschließend	ensuite
suburb	kenar mahalle	Vorort	banlieue
suffering	cefa	leiden	souffrance
sufficient	yeterli	ausreichend	suffisant
sufficiently	yeteri kadar	ausreichend	suffisamment
sum	özet	Summe	somme
super	Süper	super	super
surgeon	Cerrah	der Chirurg	chirurgien
surgery	ameliyat	Operation	chirurgie
surround	çevrelemek	umgeben	entourer
surrounding	çevreleyen	umgeben	environnant
survey	anket	Umfrage	enquête
survival	hayatta kalma	Überleben	survie
survivor	hayatta kalan	Überlebende	survivant
suspect	şüphelenmek	verdächtig	suspect
suspend	askıya almak	aussetzen	suspendre
sustainable	sürdürülebilir	nachhaltig	durable
swallow	yutmak	schlucken	avaler
swear	küfür	schwören	jurer
sweep	süpürmek	fegen	balayer
switch	anahtar	schalten	changer
sympathetic	sempatik	sympathisch	sympathique
sympathy	sempati	Sympathie	sympathie
tackle	olta takımı	angehen	attaquer
tag	etiket	Schild	étiqueter
tale	masal	Geschichte	conte
tank	tank	Panzer	réservoir
tap	musluk	klopfen	robinet
target	hedef	Ziel	cible
tear	göz yaşı	Träne	larme
technological	teknolojik	technologisch	technologique
teens	gençler	Teenager	les adolescents
kadar	Kadar	Kadar	kadar
temple	tapınak	Tempel	temple
temporarily	geçici	vorübergehend	temporairement
temporary	geçici	vorübergehend	temporaire
tendency	eğilim	Tendenz	tendance
tension	tansiyon	Spannung	tension
term	terim	Begriff	terme
terminal	terminal	Terminal	Terminal
terms	şartlar	Bedingungen	conditions
terribly	çok	fürchterlich	terriblement
terrify	korkutmak	erschrecken	terrifier
territory	bölge	Gebiet	territoire
terror	terör	Terror	la terreur
terrorism	terörizm	Terrorismus	terrorisme
terrorist	terörist	Terrorist	terroriste
testing	test yapmak	testen	essai
textbook	ders kitabı	Lehrbuch	cahier de texte
theft	Çalınması	Diebstahl	vol
therapist	terapist	Therapeut	thérapeute
therapy	terapi	Therapie	thérapie
thesis	tez	These	thèse
thorough	tam	gründlich	complet
thoroughly	iyice	gründlich	soigneusement
threat	tehdit	Gefahr	menace
threaten	tehdit etmek	drohen	menacer
thumb	baş parmak	Daumen	pouce
thus	Böylece	daher	ainsi
time	zaman	Zeit	temps
timing	zamanlama	zeitliche Koordinierung	Horaire
tissue	doku	Gewebe	tissu
title	başlık	Titel	titre
ton	ton	Tonne	tonne
tone	tonlamak	Ton	Ton
tonne	ton	Tonne	tonne
tough	zorlu	hart	difficile
tournament	turnuva	Turnier	tournoi
trace	iz	verfolgen	trace
track	izlemek	Schiene	piste
trading	ticaret	Handel	commerce
tragedy	trajedi	Tragödie	la tragédie
tragic	trajik	tragisch	tragique
trait	karakter	Merkmal	trait
transfer	Aktar	überweisen	transfert
transform	dönüşüm	verwandeln	transformer
transition	geçiş	Übergang	transition
transmit	aktarmak	übertragen	transmettre
transportation	toplu taşıma	Transport	transport
trap	tuzak	fangen	piège
treasure	hazine	Schatz	trésor
trial	duruşma	Gerichtsverhandlung	procès
tribe	kabile	Stamm	tribu
trigger	tetiklemek	Abzug	déclencher
trillion	trilyon	Billion	mille milliards
trip	seyahat	Reise	voyage
troop	birleşmek	Trupp	troupe
tropical	tropikal	tropisch	tropical
trouble	bela	Problem	inquiéter
truly	tamamen	wirklich	vraiment
trust	güven	Vertrauen	confiance
try	denemek	versuchen	essayer
tsunami	tsunami	Tsunami	tsunami
tune	ayarlamak	Melodie	régler
tunnel	tünel	Tunnel	tunnel
ultimate	nihai	ultimativ	ultime
ultimately	nihayetinde	letzten Endes	finalement
unacceptable	kabul edilemez	inakzeptabel	inacceptable
uncertainty	belirsizlik	Unsicherheit	incertitude
unconscious	bilinçsiz	unbewusst	inconscient
undergo	uğramak	unterziehen	subir
undertake	üstlenmek	übernehmen	entreprendre
unexpected	beklenmedik	unerwartet	inattendu
unfold	açılmak	entfalten	se dérouler
unfortunate	talihsiz	unglücklich	malheureux
unique	eşsiz	einzigartig	unique
unite	birleştirmek	Vereinen	unir
unity	birlik	Einheit	unité
universal	evrensel	Universal-	universel
universe	Evren	Universum	univers
unknown	Bilinmeyen	Unbekannt	inconnu
upper	üst	Oberer, höher	supérieur
upwards	yukarı	nach oben	vers le haut
urban	kentsel	urban	urbain
urge	dürtü	Drang	envie
urgent	acil	dringend	urgent
usage	kullanım	Verwendung	usage
useless	kullanışsız	nutzlos	inutile
valid	geçerli	gültig	valide
value	değer	Wert	valeur
variation	varyasyon	Variation	variation
vary	çeşitli	variieren	varier
vast	büyüklük	groß	vaste
venue	yer	Veranstaltungsort	lieu
vertical	dikey	Vertikale	vertical
very	çok	sehr	très
via	aracılığıyla	über	via
victory	zafer	Sieg	la victoire
viewpoint	bakış açısı	Standpunkt	point de vue
violence	şiddet	Gewalt	violence
virtual	sanal	virtuell	virtuel
visa	vize	Visa	visa
visible	görünür	sichtbar	visible
vision	görüş	Vision	vision
visual	görsel	visuell	visuel
vital	hayati	vital	vital
vitamin	vitamin	Vitamin	vitamine
volume	hacim	Volumen	volume
voluntary	gönüllü	freiwillig	volontaire
voting	oylama	Wählen	vote
wage	maaş	Lohn	salaire
wander	dolaşmak	wandern	errer
warming	ısınma	Erwärmen	échauffement
way	yol	Weg	chemin
weakness	zayıflık	Schwäche	faiblesse
wealth	varlık	Vermögen	richesse
wealthy	zengin	reich	riche
weekly	haftalık	wöchentlich	hebdomadaire
weird	garip	seltsam	bizarre
welfare	refah	Wohlfahrt	bien-être
wheat	buğday	Weizen	blé
whereas	halbuki	wohingegen	alors que
wherever	her nerede	wo auch immer	partout où
whilst	İken	während	alors que
whisper	fısıltı	flüstern	chuchoter
whoever	her kim	Wer auch immer	quiconque
whom	kime	dem	qui
widely	geniş bir şekilde	weit	largement
widespread	yaygın	weit verbreitet	répandu
wildlife	vahşi yaşam	Tierwelt	faune
willing	hevesli	bereit	disposé
wind	rüzgâr	Wind	vent
wire	tel	Kabel	fil
wisdom	bilgelik	Weisheit	sagesse
wise	bilge	weise	sage
withdraw	geri çekilmek	zurückziehen	retirer
witness	tanık	Zeuge	témoin
workforce	işgücü	Belegschaft	la main d'oeuvre
workplace	iş yeri	Arbeitsplatz	lieu de travail
workshop	atölye	Werkstatt	atelier
worse	daha kötüsü	schlechter	pire
worst	en kötüsü	schlimmste	pire
worth	değer	Wert	valeur
wound	yara	Wunde	blesser
wrap	dürüm	wickeln	envelopper
wrist	bilek	Handgelenk	poignet
wrong	yanlış	falsch	faux
yet	henüz	noch	encore
zone	alan	Zone	zone
