ability	yetenek	Fähigkeit	capacité
upstairs	üst katta	nach oben	à l'étage
use	kullanmak	verwenden	utiliser
used	kullanılmış	gebraucht	utilisé
user	kullanıcı	Benutzer	utilisateur
usual	olağan	üblich	habituel
valley	vadi	Schlucht	vallée
van	kamyonet	Van	van
variety	çeşitlilik	Vielfalt	variété
vehicle	araç	Fahrzeug	véhicule
view	görüş	Sicht	voir
virus	virüs	Virus	virus
voice	ses	Stimme	voix
wait	Beklemek	Warten	attendez
war	savaş	Krieg	guerre
wash	yıkamak	waschen	laver
washing	yıkama	Waschen	la lessive
wave	dalga	Welle	vague
weak	zayıf	schwach	faible
web	ağ	Netz	la toile
wedding	düğün	Hochzeit	mariage
weight	ağırlık	Gewicht	lester
welcome	Hoş geldin	Willkommen	accueillir
wet	ıslak	nass	humide
wheel	teker	Rad	roue
while	sırasında	während	alors que
whole	tüm	ganz	ensemble
wide	geniş	breit	large
wild	vahşi	wild	sauvage
wind	rüzgâr	Wind	vent
winner	kazanan	Gewinner	gagnant
wish	dilek	Wunsch	souhait
wood	odun	Holz	bois
wooden	ahşap	hölzern	en bois
working	çalışma	Arbeiten	fonctionnement
worried	endişeli	besorgt	inquiet
worry	endişelenmek	Sorge	inquiétude
worse	daha kötüsü	schlechter	pire
worst	en kötüsü	schlimmste	pire
yet	henüz	noch	encore
yours	seninki	dein	le vôtre
zero	sıfır	null	zéro
